data_coleta,titulo,resumo,instituicao,nivel,area,vagas,inscricoes_inicio,inscricoes_fim,url,status,data_publicacao,fonte
2026-06-06T17:22:12.355Z,[PDF] EDITAL DE SELEÇÃO DE ALUNO ESPECIAL 2026-1 | ppgau-ufba,O resultado do processo seletivo de aluno especial para o semestre 2026-1 será divulgado no site do. Programa (www.ppgau.ufba.br) até 19 de ...,UFBA,Mestrado Acadêmico,Tecnologia e Informática,19,2026-06-04T17:17:17.318Z,2026-06-21T17:17:17.318Z,https://ppgau.ufba.br/sites/ppgau.ufba.br/files/edital_aluno_especial_ppgau-2026-1.pdf,Aberto,2026-06-02T17:17:17.318Z,UFBA Pos
2026-06-06T17:22:12.355Z,[PDF] edital 001/2026 - seleção de aluno especial 2026.1 | ims-ufba,"Os candidatos selecionados à categoria de aluno especial devem enviar, no período de 21/01/2026 a. 22/01/2026, para o e-mail ppgsc.ims@ufba ...",UFBA,Mestrado Acadêmico,Tecnologia e Informática,19,2026-06-04T17:17:17.318Z,2026-06-21T17:17:17.318Z,https://ims.ufba.br/sites/ims.ufba.br/files/editais/edital_001-2026_selecao_aluno_especial_saude_coletiva-2026.1.pdf,Aberto,2026-06-02T17:17:17.318Z,UFBA Pos
2026-05-15T00:00:00.000Z,Edital IF Baiano 07/2026 - Seleção de Candidatos para Mestrado Profissional - Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT),O Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT) da IF Baiano torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Profissional. Ensino de EPT com foco em metodologias integradoras para institutos federais e escolas técnicas. Eixo temático concentrado em Educação.,IF Baiano,Mestrado Profissional,Educação,14,2026-05-02T09:00:00.000Z,2026-05-17T23:59:59.000Z,https://ifbaiano.edu.br/noticias/selecao-mestrado-2026-5-0,Encerrado,2026-04-29T10:00:00.000Z,IF Baiano Ingresso
2026-04-15T00:00:00.000Z,Edital IF Baiano 07/2026 - Seleção de Candidatos para Mestrado Profissional - Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT),O Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT) da IF Baiano torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Profissional. Ensino de EPT com foco em metodologias integradoras para institutos federais e escolas técnicas. Eixo temático concentrado em Educação.,IF Baiano,Mestrado Profissional,Educação,14,2026-04-03T09:00:00.000Z,2026-04-19T23:59:59.000Z,https://ifbaiano.edu.br/noticias/selecao-mestrado-2026-4-1,Encerrado,2026-03-31T10:00:00.000Z,IF Baiano Ingresso
2026-04-15T00:00:00.000Z,Edital IFBA 06/2026 - Seleção de Candidatos para Mestrado Acadêmico - Mestrado em Engenharia de Sistemas e Automação,"O Mestrado em Engenharia de Sistemas e Automação da IFBA torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Acadêmico. Pesquisas em controle de processos, instrumentação, sistemas embarcados e automação industrial. Eixo temático concentrado em Engenharias e Exatas.",IFBA,Mestrado Acadêmico,Engenharias e Exatas,13,2026-04-02T09:00:00.000Z,2026-04-17T23:59:59.000Z,https://portal.ifba.edu.br/noticias/selecao-mestrado-2026-4-0,Encerrado,2026-03-30T10:00:00.000Z,IFBA Ingresso
2026-03-15T00:00:00.000Z,Edital IF Baiano 07/2026 - Seleção de Candidatos para Mestrado Profissional - Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT),O Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT) da IF Baiano torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Profissional. Ensino de EPT com foco em metodologias integradoras para institutos federais e escolas técnicas. Eixo temático concentrado em Educação.,IF Baiano,Mestrado Profissional,Educação,14,2026-03-04T09:00:00.000Z,2026-03-21T23:59:59.000Z,https://ifbaiano.edu.br/noticias/selecao-mestrado-2026-3-2,Encerrado,2026-03-01T10:00:00.000Z,IF Baiano Ingresso
2026-03-15T00:00:00.000Z,Edital IFBA 06/2026 - Seleção de Candidatos para Mestrado Acadêmico - Mestrado em Engenharia de Sistemas e Automação,"O Mestrado em Engenharia de Sistemas e Automação da IFBA torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Acadêmico. Pesquisas em controle de processos, instrumentação, sistemas embarcados e automação industrial. Eixo temático concentrado em Engenharias e Exatas.",IFBA,Mestrado Acadêmico,Engenharias e Exatas,13,2026-03-03T09:00:00.000Z,2026-03-19T23:59:59.000Z,https://portal.ifba.edu.br/noticias/selecao-mestrado-2026-3-1,Encerrado,2026-02-28T10:00:00.000Z,IFBA Ingresso
2026-02-15T00:00:00.000Z,Edital IFBA 06/2026 - Seleção de Candidatos para Mestrado Acadêmico - Mestrado em Engenharia de Sistemas e Automação,"O Mestrado em Engenharia de Sistemas e Automação da IFBA torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Acadêmico. Pesquisas em controle de processos, instrumentação, sistemas embarcados e automação industrial. Eixo temático concentrado em Engenharias e Exatas.",IFBA,Mestrado Acadêmico,Engenharias e Exatas,13,2026-02-04T09:00:00.000Z,2026-02-21T23:59:59.000Z,https://portal.ifba.edu.br/noticias/selecao-mestrado-2026-2-2,Encerrado,2026-02-01T10:00:00.000Z,IFBA Ingresso
2026-01-15T00:00:00.000Z,Edital IF Baiano 07/2026 - Seleção de Candidatos para Mestrado Profissional - Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT),O Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT) da IF Baiano torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Profissional. Ensino de EPT com foco em metodologias integradoras para institutos federais e escolas técnicas. Eixo temático concentrado em Educação.,IF Baiano,Mestrado Profissional,Educação,14,2026-01-03T09:00:00.000Z,2026-01-22T23:59:59.000Z,https://ifbaiano.edu.br/noticias/selecao-mestrado-2026-1-4,Encerrado,2025-12-31T10:00:00.000Z,IF Baiano Ingresso
2026-01-15T00:00:00.000Z,Edital IFBA 06/2026 - Seleção de Candidatos para Mestrado Acadêmico - Mestrado em Engenharia de Sistemas e Automação,"O Mestrado em Engenharia de Sistemas e Automação da IFBA torna público o edital de abertura de inscrições para o processo seletivo de alunos para o curso de Mestrado Acadêmico. Pesquisas em controle de processos, instrumentação, sistemas embarcados e automação industrial. Eixo temático concentrado em Engenharias e Exatas.",IFBA,Mestrado Acadêmico,Engenharias e Exatas,13,2026-01-02T09:00:00.000Z,2026-01-20T23:59:59.000Z,https://portal.ifba.edu.br/noticias/selecao-mestrado-2026-1-3,Encerrado,2025-12-30T10:00:00.000Z,IFBA Ingresso
